Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
1954,7,1,,,,0.8,4.6,5.8,
1954,8,1,,,,1.22,,6,
1954,9,1,,,,1.06,,6.1,
1954,10,1,,,,0.85,8,5.7,
1954,11,1,,,,0.83,,5.3,
1954,12,1,,,,1.28,,5,
1955,1,1,,,,1.39,11.9,4.9,
1955,2,1,,,,1.29,,4.7,
1955,3,1,,,,1.35,,4.6,
1955,4,1,,,,1.43,6.7,4.7,
1955,5,1,,,,1.43,,4.3,
1955,6,1,,,,1.64,,4.2,
1955,7,1,,,,1.68,5.5,4,
1955,8,1,,,,1.96,,4.2,
1955,9,1,,,,2.18,,4.1,
1955,10,1,,,,2.24,2.4,4.3,
1955,11,1,,,,2.35,,4.2,
1955,12,1,,,,2.48,,4.2,
1956,1,1,,,,2.45,-1.5,4,
1956,2,1,,,,2.5,,3.9,
1956,3,1,,,,2.5,,4.2,
1956,4,1,,,,2.62,3.4,4,
1956,5,1,,,,2.75,,4.3,
1956,6,1,,,,2.71,,4.3,
1956,7,1,,,,2.75,-0.3,4.4,
1956,8,1,,,,2.73,,4.1,
1956,9,1,,,,2.95,,3.9,
1956,10,1,,,,2.96,6.7,3.9,
1956,11,1,,,,2.88,,4.3,
1956,12,1,,,,2.94,,4.2,
1957,1,1,,,,2.84,2.6,4.2,
1957,2,1,,,,3,,3.9,
1957,3,1,,,,2.96,,3.7,
1957,4,1,,,,3,-0.9,3.9,
1957,5,1,,,,3,,4.1,
1957,6,1,,,,3,,4.3,
1957,7,1,,,,2.99,4,4.2,
1957,8,1,,,,3.24,,4.1,
1957,9,1,,,,3.47,,4.4,
1957,10,1,,,,3.5,-4,4.5,
1957,11,1,,,,3.28,,5.1,
1957,12,1,,,,2.98,,5.2,
1958,1,1,,,,2.72,-10,5.8,3.2
1958,2,1,,,,1.67,,6.4,3.2
1958,3,1,,,,1.2,,6.7,2.8
1958,4,1,,,,1.26,2.6,7.4,2.4
1958,5,1,,,,0.63,,7.4,2.4
1958,6,1,,,,0.93,,7.3,2.1
